VALID,AIRCRAFT,REPORT,LON,LAT,10m Northward Wind,10m Eastward Wind,50m Northward Wind,50m Eastward Wind
201701010014,B739,JNU UA /OV PAJN /TM 0014 /FL360 /TP B739 /WV 320111KT /TB OCNL LGT CHOP 360 /RM ASA123. AWC-WEB,-134.57628,58.35497,-3.428193569,1.386022329,-4.872682095,1.790891647
201701010015,A319,PBI UA /OV PBI28025/TM 0015/FL050/TP A319/SK VMC,-80.0994,26.6847,3.780790806,-3.312708139,5.313841343,-4.608522415
201701010015,B712,OGG UA /OV OGG204002/TM 0015/FL009/TP B712/SK BKN009/WX 4SM,-156.4426114,20.86353621,-5.299287319,-4.411340714,-5.497682095,-4.65735054
201701010015,A319,MIA UA /OV 5NM E FLL/TM 0015/FL050/TP A319/SK BKN 035/TB NEG TURB/RM TOPS 045,-80.31693,25.78805,2.975615025,-3.442590952,4.393919468,-4.999147415
201701010015,B739,KTN UA /OV PAKT /TM 0015 /FL330 /TP B739 /TB OCNL MOD CHOP 310 /RM RIDE BETTER BELOW FL330. ASA120. AWC-WEB,-131.71167,55.35667,-3.832490444,2.691198111,-6.232057095,4.11999321
201701010015,B739,KTN UA /OV PAKT /TM 0015 /FL330 /TP B739 /TB OCNL MOD CHOP 310 /RM RIDE BETTER BELOW FL330. ASA120. AWC-WEB:,-131.71167,55.35667,-3.832490444,2.691198111,-6.232057095,4.11999321
201701010016,A320,KLBE UA /OV LBE/TM 0016/FL080/TP A320/TB LGT CHOP 030-070/RM BASES 040 STILL IN CLOUDS AT 080 DURC RWY 23,-79.4048,40.27594,3.566923618,3.071080923,6.35192728,5.922727585
201701010016,CRJ200,TLH UA /OV SZW064031/TM 0016/FL160/TP CRJ200/TA M02/IC LGT RIME/RM DURD FL160-FL140 IN DECENT TO TLH,-83.90133606,30.7568319,0.916166902,-0.901575327,1.846434236,-1.44641304
201701010017,B738,GRI UA /OV OBH221058 /TM 0017 /FL320 /TP B738 /TB SMTH/RM AWC-WEB:,-99.08451989,40.74598478,2.5752244,0.777623892,4.068724155,1.253293991
201701010017,B737,KMEM UA /OV KMEM/TM 0017/FLDURD/TP B737/SK TOP083,-89.985,35.06111,1.321135163,1.301549673,2.707884312,2.70983696
